url,projname,price,xzarea,area,position
https://guangzhou.anjuke.com/prop/view/A1109936637?from=filter&spread=commsearch_p&position=111&kwtype=filter&now_time=1520404662,万科东荟城,28048,广州区域,黄埔,香雪
https://guangzhou.anjuke.com/prop/view/A1126830301?from=filter&spread=commsearch_p&position=119&kwtype=filter&now_time=1520404662,芳村公安宿舍,26734,广州区域,荔湾,芳村
https://guangzhou.anjuke.com/prop/view/A1113429973?from=filter&spread=commsearch_p&position=91&kwtype=filter&now_time=1520404662,元邦山清水秀(别墅),10909,广州区域,花都,狮岭
https://guangzhou.anjuke.com/prop/view/A1110409362?from=filter-saleMetro&spread=commsearch_p&position=112&kwtype=filter&now_time=1520404662,侨兴苑,41509,广州区域,天河,岗顶
https://guangzhou.anjuke.com/prop/view/A1136793282?from=filter&spread=commsearch_p&position=66&kwtype=filter&now_time=1520404662,保利星海小镇,17241,广州区域,南沙,南沙北
https://guangzhou.anjuke.com/prop/view/A1136768250?from=filter-saleMetro&spread=commsearch_p&position=101&kwtype=filter&now_time=1520404662,力达广场,46153,广州区域,天河,粤垦
https://guangzhou.anjuke.com/prop/view/A1133509054?from=filter-saleMetro-salesxq&spread=commsearch_p&position=117&kwtype=filter&now_time=1520404662,罗马家园,43750,广州区域,海珠,南洲
https://guangzhou.anjuke.com/prop/view/A1136349727?from=filter&spread=commsearch_p&position=108&kwtype=filter&now_time=1520404662,同创誉城,22898,广州区域,番禺,广州雅居乐
https://guangzhou.anjuke.com/prop/view/A1138267419?from=filter-saleMetro&spread=commsearch_p&position=62&kwtype=filter&now_time=1520404662,东方新世界,68604,广州区域,天河,天河公园
https://guangzhou.anjuke.com/prop/view/A1136345068?from=filter&spread=commsearch_p&position=102&kwtype=filter&now_time=1520404662,联合广场,14074,广州区域,花都,狮岭
https://guangzhou.anjuke.com/prop/view/A1115978782?from=filter-saleMetro&spread=commsearch_p&position=88&kwtype=filter&now_time=1520404662,星河湾一期(朗心园),38048,广州区域,番禺,星河湾
https://guangzhou.anjuke.com/prop/view/A1136376158?from=filter&spread=commsearch_p&position=67&kwtype=filter&now_time=1520404662,美的鹭湖森林度假区(别墅),15666,广州区域,广州周边,佛山
https://guangzhou.anjuke.com/prop/view/A1133100013?from=filter&spread=commsearch_p&position=77&kwtype=filter&now_time=1520404662,江南世家,36842,广州区域,白云,南湖
https://guangzhou.anjuke.com/prop/view/A1127453464?from=filter-saleMetro&spread=commsearch_p&position=71&kwtype=filter&now_time=1520404662,柯子岭小区,18018,广州区域,白云,景泰
https://guangzhou.anjuke.com/prop/view/A1123911834?from=filter-saleMetro&spread=commsearch_p&position=76&kwtype=filter&now_time=1520404662,君立M+World,29756,广州区域,白云,同和
https://guangzhou.anjuke.com/prop/view/A1135010012?from=filter&spread=commsearch_p&position=106&kwtype=filter&now_time=1520404662,美力百富雅苑,25213,广州区域,花都,旧区
https://guangzhou.anjuke.com/prop/view/A1113726321?from=filter-salesxq&spread=commsearch_p&position=104&kwtype=filter&now_time=1520404662,祥华阁,25000,广州区域,白云,黄石
https://guangzhou.anjuke.com/prop/view/A1069653580?from=filter&spread=commsearch_p&position=94&kwtype=filter&now_time=1520404662,保利城,16568,广州区域,花都,花都西
https://guangzhou.anjuke.com/prop/view/A1132639944?from=filter&spread=commsearch_p&position=96&kwtype=filter&now_time=1520404662,锦绣天伦花园,19705,广州区域,增城,新塘
https://guangzhou.anjuke.com/prop/view/A1123854465?from=filter-saleMetro-salesxq&spread=commsearch_p&position=72&kwtype=filter&now_time=1520404662,淘金家园,72093,广州区域,越秀,黄花岗
https://guangzhou.anjuke.com/prop/view/A1131909204?from=filter&spread=commsearch_p&position=81&kwtype=filter&now_time=1520404662,丽江花园左岸,31308,广州区域,番禺,南浦
https://guangzhou.anjuke.com/prop/view/A1126653795?from=filter-saleMetro&spread=commsearch_p&position=120&kwtype=filter&now_time=1520404662,芳草园小区,78655,广州区域,天河,龙口
https://guangzhou.anjuke.com/prop/view/A1131571462?from=filter&spread=commsearch_p&position=100&kwtype=filter&now_time=1520404662,天河星作,34883,广州区域,天河,天河智慧城
